Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
EFR3A,EFR3 homolog A (S. cerevisiae),23167,KIAA0143,8,8q24.22,Q14156,611798,"This gene encodes a membrane protein that is a component of a protein complex required for PtdIns4P synthesis. Studies with orthologous gene in mouse show that it is differentially expressed in the auditory brainstem neurons of mice with hearing deficit, compared to mice with normal hearing ability, suggesting a role for this gene in hearing.",Rare Single Gene variant,"Rare nonsynonymous variants in the EFR3A gene were found to be more common among cases (16/2196; 0.73%) than matched controls (12/3389; 0.35%), and were statistically more common at conserved nucleotides based on an experiment-wide significance threshold (P=0.0077, permutation test); variants likely to be deleterious were also statistically more common in cases than controls (P=0.017, Fisher exact test) (Gupta et al., 2014).",9,0,,0,,24860643,,,"22495306,25363760,27525107,27667684,35205252,35982159,37393044,37506195"
EGR2,"early growth response 2 (Krox-20 homolog, Drosophila)",1959,"CMT1D, CMT4E, KROX20, FLJ14547, DKFZp686J1957",10,10q21.3,P11161,129010,The encoded protein is a Zn binding transcription factor.,Functional,"Differential expression of the EGR2 gene has been shown to occur in some autistic individuals (Hu et al., 2006). EGR2 expression was found to be reduced in individuals with autism as well as Rett syndrome, and it appears that EGR2 and MECP2 can regulate each other's expression (Swanberg et al., 2009).",5,0,,0,,16709250,8224839,"16702976,19000991",37393044
EGR3,early growth response 3,1960,"EGR-3, PILOT",8,8p21.3,Q06889,602419,"This gene encodes a transcriptional regulator that belongs to the EGR family of C2H2-type zinc-finger proteins. It is an immediate-early growth response gene which is induced by mitogenic stimulation. The protein encoded by this gene participates in the transcriptional regulation of genes in controling biological rhythm. It may also play a role in a wide variety of processes including muscle development, lymphocyte development, endothelial cell growth and migration, and neuronal development.",Rare single gene variant,"De novo damaging missense variants in the EGR3 gene were identified in ASD probands from the Autism Sequencing Consortium (De Rubeis et al., 2014) and the SPARK cohort (Feliciano et al., 2019).  A meta-analysis of de novo variants in 4773 published ASD trios and 465 SPARK trios using TADA identified EGR3 as a gene with a false discovery rate  0.2.",3,0,,0,,25363760,,,"31452935,35982159"
EHMT1,Euchromatic histone-lysine N-methyltransferase 1,79813,"RP11-188C12.1, DKFZp667M072, EUHMTASE1, Eu-HMTase1, FLJ12879, FP13812, GLP, GLP1, KIAA1876, KMT1D, bA188C12.1",9,9q34.3,Q9H9B1,607001,"The protein encoded by this gene is a histone methyltransferase that is part of the E2F6 complex, which represses transcription. This protein may be involved in the silencing of MYC- and E2F-responsive genes and therefore could play a role in the G0/G1 cell cycle transition. Defects in this gene are a cause of chromosome 9q subtelomeric deletion syndrome (9q-syndrome).",Syndromic,"This gene was identified as an ASD candidate gene following the identification of a balanced chromosomal abnormality (BCA) leading to gene disruption in an ASD case (Talkowski et al., 2012); this BCA-disrupted gene was also individually implicated by case-control CNV burden or by a minimum of 3 CNVs in neuodevelopmental disorder (NDD) cases with none in controls in a follow-up study in the same report.  Disruptions in the EHMT1 gene are the cause of Kleefstra syndrome, which is accompanied by autistic features and intellectual disability (PMIDs 15805155, 16826528, 19264732).  This gene was identified as an ASD candidate gene following the identification of a balanced chromosomal abnormality (BCA) leading to gene disruption in an ASD case (PMID 22521361). This report also showed significant burden (P=10[-7]) of EHMT1 CNVs in individuals with neurodevelopmental disorder (NDD; ~25% of cases with ASD).  Formal evaluation of patients with Kleefstra syndrome with the Social Communication Questionnaire (SCQ) in PMID 26808425 indicated that all patients exceeded the cut-off value, suggesting the presence of possible ASD.  Five de novo loss-of-function variants and several potentially damaging missense variants in the EHMT1 gene were reported in ASD probands from the Autism Sequencing Consortium, the MSSNG cohort, and the SPARK cohort in Zhou et al., 2022; a two-stage analysis of rare de novo and inherited coding variants in 42,607 ASD cases, including 35,130 new cases from the SPARK cohort, in this report identified EHMT1 as a gene reaching study-wide significance based on 5,754 constraint genes (P < 8.69E-06).",42,0,,0,,22521361,16826528,"22801426,26808425,31914384,35982159","15805155,19264732,23849776,25349628,25400900,25533962,26845707,27479843,27651234,27789404,27841880,28057753,28361099,28361100,28554332,28940097,30370152,31139143,31209962,32277047,32722525,32975655,33590427,34262135,34615535,34800434,35597848,35741772,36216811,37257768,37524782,37543562,37575568,38256266,38384171,38438125"
EIF3G,eukaryotic translation initiation factor 3 subunit G,8666,"EIF3-P42, EIF3S4, eIF3-delta, eIF3-p44",19,19p13.2,O75821,603913,"The protein encoded by this gene is a component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis.",Rare single gene variant,"De novo variants in the EIF3G gene, including a missense variant and a synonymous variant predicted in PMID 26938441 to affect splicing regulation by altering an exonic splicing regulator, have been identified in ASD probands from the Simons Simplex Collection (O'Roak et al., 2012; Iossifov et al., 2012). Evaluation of the statistical significance of observing multiple functional de novo variants in this gene, taking into account gene length and local sequence context to determine the expected number of variants, generated a p-value of 5.02E-04 (Takata et al., 2016).",5,0,,0,,22542183,,26938441,"22495309,31981491,35982159"
EIF4E,eukaryotic translation initiation factor 4E,1977,CBP; EIF4F; EIF4E1; EIF4EL1; MGC111573; EIF4E,4,4q23,P06730,133440,Translation initiation factor involved in directing ribosomes to the cap structure of mRNAs,Rare single gene variant,"Rare variants in the EIF4E gene have been identified with autism (Neves-Pereira et al., 2009).",13,1,24818597,0,,19556253,"11778052,15541314,7935836,9561852,9603962","17277769,18832563,23263185","22558107,27525107,35982159"
EIF4EBP2,Eukaryotic translation initiation factor 4E binding protein 2,1979,"4EBP2, PHASII",10,10q22.1,Q13542,602224,"This gene encodes a member of the eukaryotic translation initiation factor 4E binding protein family. The gene products of this family bind eIF4E and inhibit translation initiation. However, insulin and other growth factors can release this inhibition via a phosphorylation-dependent disruption of their binding to eIF4E. Regulation of protein production through these gene products have been implicated in cell proliferation, cell differentiation and viral infection.",Functional,"Knockout of the EIF4EBP2 gene in mice results in an increased ratio of excitatory to inhibitory synaptic inputs and autistic-like behaviours (that is, social interaction deficits, altered communication and repetitive/stereotyped behaviours) (Gkogkas et al., 2012).",1,0,,0,,23172145,,,
EIF4G1,eukaryotic translation initiation factor 4 gamma 1,1981,"EIF-4G1, EIF4F, EIF4G, EIF4GI, P220, PARK18",3,3q27.1,Q04637,600495,"The protein encoded by this gene is a component of the multi-subunit protein complex EIF4F. This complex facilitates the recruitment of mRNA to the ribosome, which is a rate-limiting step during the initiation phase of protein synthesis. The recognition of the mRNA cap and the ATP-dependent unwinding of 5'-terminal secondary structure is catalyzed by factors in this complex. The subunit encoded by this gene is a large scaffolding protein that contains binding sites for other members of the EIF4F complex. A domain at its N-terminus can also interact with the poly(A)-binding protein, which may mediate the circularization of mRNA during translation.",Rare single gene variant,"A rare and potentially damaging de novo missense variant in the EIF4G1 gene was identified in an ASD proband from the Simons Simplex Collection in Iossifov et al., 2014.  Gonatopoulos-Pournatzis et al., 2020 demonstrated that microexon splicing in eIF4G translation initiation factors, a process involved in regulation of the neuronal proteome and higher order cognitive functions, was disrupted in post-mortem brain tissue from autistic patients; furthermore, mice that were deficient for the Eif4g1 microexon (Eif4g1MIC/MIC) displayed learning and memory deficits, altered synaptic plasticity, and autistic-like social behavior.",4,0,,0,,31999954,,,"25363768,35205252,35982159"
EIF5A,eukaryotic translation initiation factor 5A,1984,"EIF-5A1, FABAS, eIF-4D, eIF5AI,EIF5A",17,17p13.1,P63241,600187,"The protein encoded by this gene enables U6 snRNA binding activity and protein N-terminus binding activity and is involved in several processes, including cellular response to virus, positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator, and tumor necrosis factor-mediated signaling pathway.  De novo heterozygous mutations in this gene are responsible for Faundes-Banka syndrome (OMIM 619376), an autosomal dominant disorder characterized by variable combinations of developmental delay and microcephaly, as well as micrognathia and other dysmorphic features (Faundes et al., 2021).",Rare single gene variant,"De novo damaging missense variants in the EIF5A gene have been identified in ASD probands from the Autism Sequencing Consortium and the BARAKA-Qatar Study (Satterstrom et al., 2020; Abdi et al., 2023).  One of the seven individuals with Faundes-Banka syndrome described in Faundes et al., 2021 was reported to have autism spectrum disorder and ADHD; the EIF5A missense variant identified in this individual (p.Glu122Lys) was experimentally shown to reduce eIF5A-ribosome interactions in polysome profiling assays.",4,0,,0,,37805537,,,"31981491,33547280,35982159"
ELAVL2,ELAV like neuron-specific RNA binding protein 2,1993,"HEL-N1, HELN1, HUB",9,9p21.3,Q12926,601673,"The protein encoded by this gene is a neural-specific RNA-binding protein that is known to bind to several 3' UTRs, including its own and also that of FOS and ID. The encoded protein may recognize a GAAA motif in the RNA.",Rare single gene variant,"A de novo loss-of-function variant in the ELAVL2 gene was identified in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014). RNAi-mediated knockdown on ELAVL2 in primary human neurons and RNA sequencing identified a number of alternatively spliced transcripts downstream of ELAVL2 that overlap with RBFOX1 targets as well as targets of FMR1, as well as alternatively spliced and differentially expressed genes downstream of ELAVL2 that corresponded to a number of known ASD risk genes and genes that encode synaptic proteins (Berto et al., 2016).",7,1,28540026,0,,25363768,,27260404,"27479843,27667684,31771860,35982159"
ELAVL3,ELAV like neuron-specific RNA binding protein 3,1995,"HUC, HUCL, PLE21",19,19p13.2,Q14576,603458,"A member of the ELAVL protein family, ELAV-like 3 is a neural-specific RNA-binding protein which contains three RNP-type RNA recognition motifs. The observation that ELAVL3 is one of several Hu antigens (neuronal-specific RNA-binding proteins) recognized by the anti-Hu serum antibody present in sera from patients with paraneoplastic encephalomyelitis and sensory neuronopathy (PEM/PSN) suggests it has a role in neurogenesis.",Rare single gene variant,"Two de novo missense variants in the ELAVL3 gene were identified in ASD probands from the Simons Simplex Collection in Iossifov et al., 2014. Krumm et al., 2015 reported that no de novo SNVs in this gene were observed in SSC unaffected siblings (de novo SNV P-value <0.05), and no rare effect types were reported in the Exome Variant Server.",6,0,,0,,25363768,,,"25961944,29426875,31981491,33432195,35982159"
ELOVL2,ELOVL fatty acid elongase 2,54898,SSC2,6,6p24.2,Q9NXB9,611814,The protein encoded by the ELOVL2 gene catalyzes the first and rate-limiting reaction of the four that constitute the long-chain fatty acids elongation cycle.,Genetic association,"Three SNPs in the ELOVL2 gene were found to be associated with increased ASD risk in a case-control association analysis of 243 Chinese ASD patients and 243 unrelated healthy controls in Sun et al., 2018.",2,0,,0,,30180836,,,37805537
ELP2,elongator acetyltransferase complex subunit 2,55250,"MRT58, SHINC-2, STATIP1, StIP",18,18q12.2,Q6IA86,616054,"The protein encoded by this gene is a core subunit of the elongator complex, a histone acetyltransferase complex that associates with RNA polymerase II. In addition to histone acetylation, the encoded protein effects transcriptional elongation and may help remodel chromatin.",Syndromic,"Biallelic variants in the ELP2 gene have been shown to be responsible for a form of autosomal-recessive intellectual disability (Najmabadi et al., 2011; Cohen et al., 2015; Turkyilmaz and Sager, 2020; Dogan et al., 2021); affected individuals frequently display behavioral abnormalities such as self-injurious behavior and aggressive behavior, as well as stereotypic movements.  Kojic et al. 2021 characterized eight individuals with biallelic variants in ELP2 (6 novel individuals and the two individuals originally identified in Cohen et al., 2015) and reported that autism spectrum disorder was observed in the two individuals from Cohen et al., 2015 and three novel individuals; ELP2 variants identified in patients were subsequently experimentally shown to result in impaired protein stability and reduced Elongator activity.  Furthermore, modeling disease-associated ELP2 variants in mice in Kojic et al., 2021 recapitulated phenotypic features observed in patients (including developmental delay, microcephaly, motor deficits, and autistic features).",6,0,,0,,25847581,,33976153,"21937992,28726809,33393008,33510603"
ELP4,Elongator acetyltransferase complex subunit 4,26610,"AN, C11orf19, PAX6NEB, PAXNEB, dJ68P15A.1, hELP4",11,11p13,Q96EB1,606985,"The protein encoded by the ELP4 gene acts as subunit of the RNA polymerase II elongator complex, which is a histone acetyltransferase component of the RNA polymerase II (Pol II) holoenzyme and is involved in transcriptional elongation. Elongator may play a role in chromatin remodeling and is involved in acetylation of histones H3 and probably H4. This gene has also been associated with Rolandic epilepsy.",Multigenic CNV,"A case-control analysis of the frequency of ELP4 CNVs from 2,845 ASD cases compared with 6,469 control individuals identified a significant excess of CNVs in cases vs. controls (P=2.7 x 10-3) (Addis et al., 2015).",7,1,19172991,0,,26010655,,,"18322702,27525107,27667684,30504930,31398340"
EML1,echinoderm microtubule associated protein like 1,2009,"ELP79, EMAP, EMAPL, FLJ45033, HuEMAP",14,14q32.2,O00423,602033,"Human echinoderm microtubule-associated protein-like is a strong candidate for the Usher syndrome type 1A gene. Usher syndromes (USHs) are a group of genetic disorders consisting of congenital deafness, retinitis pigmentosa, and vestibular dysfunction of variable onset and severity depending on the genetic type. Two transcript variants encoding different isoforms have been found for this gene.",Rare Single Gene variant,"Rare mutations in the EML1 gene have been identified with ASD (Schaaf et al., 2011).",4,0,,0,,21624971,,,"23375656,35205252,35982159"
EMSY,"EMSY, BRCA2 interacting transcriptional repressor",56946,"C11orf30, GL002",11,11q13.5,Q7Z589,608574,"Regulator which is able to repress transcription, possibly via its interaction with a multiprotein chromatin remodeling complex that modifies the chromatin.",Rare single gene variant,"Single-gene expression analysis of brain cortical tissue samples from 47 ASD cases and 57 controls identified EMSY (formerly known as C11orf30) as a gene showing transcriptome-wide significant differential gene expression (0.6-fold decrease) between autism and control brains (P=3.29E-07; threshold for transcriptome-wide significance set at P<4.76E-07) (Gupta et al., 2014). A de novo LoF variant in this gene was also identified in an ASD proband from the Autism Sequencing Consortium (De Rubeis et al., 2014).",5,0,,0,,25494366,,26401017,"25363760,31398340,35982159"
EN2,engrailed homolog 2,2020,"AUTS1, engrailed 2, engrailed-2",7,7q36.3,P19622,131310,The encoded protein is a transcription factor.,Genetic Association,"Several studies have found genetic association between the EN2 gene and autism. In particular, studies have found associations in the Chinese Han population as well as AGRE, NIMH and CPEA cohorts. However, another study found no genetic association between EN2 and autism in an AGRE cohort (Zhong et al., 2003).",26,4,"16252243,17948868,17948901,18424904",3,"12525552,21575668,22739633",15024396,"2907320,7909289","16267555,16935268,17320162,18562208,24507165,25290267,28809922,29964155,33689683","22180456,24520327,25533962,26002543,27755371,31133750,38009365"
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,5167,"ARHR2, COLED, M6S1, NPP1, NPPS, PC-1, PCA1, PDNP1",6,6q23.2,P22413,173335,"This gene is a member of the ecto-nucleotide pyrophosphatase/phosphodiesterase (ENPP) family. The encoded protein is a type II transmembrane glycoprotein comprising two identical disulfide-bonded subunits. This protein has broad specificity and cleaves a variety of substrates, including phosphodiester bonds of nucleotides and nucleotide sugars and pyrophosphate bonds of nucleotides and nucleotide sugars. This protein may function to hydrolyze nucleoside 5' triphosphates to their corresponding monophosphates and may also hydrolyze diadenosine polyphosphates.",Rare single gene variant,"Rare de novo non-coding variants in the ENPP1 gene have been identified in ASD probands in multiple studies (Yuen et al., 2017; Turner et al., 2017; Werling et al., 2018), while a de novo in-frame deletion variant in this gene was identified in a male ASD proband from a cohort of 100 Vietnamese children with ASD (Tran et al., 2020).",5,0,,0,,32193494,,,"28263302,28965761,29700473,35982159"
EP300,E1A binding protein p300,2033,"RP1-85F18.1, KAT3B, RSTS2, p300",22,22q13.2,Q09472,602700,"This gene encodes the adenovirus E1A-associated cellular p300 transcriptional co-activator protein. It functions as a histone acetyltransferase that regulates transcription via chromatin remodeling and is important in the processes of cell proliferation and differentiation. It mediates cAMP-gene regulation by binding specifically to phosphorylated CREB protein. This gene has also been identified as a co-activator of HIF1A (hypoxia-inducible factor 1 alpha), and thus plays a role in the stimulation of hypoxia-induced genes such as VEGF. Defects in this gene are a cause of Rubinstein-Taybi syndrome and may also play a role in epithelial cancer.",Syndromic,"Heterozygous variants in the EP300 gene are responsible for Rubinstein-Taybi syndrome 2 (OMIM 613684), a multiple congenital anomaly syndrome characterized by intellectual disability, postnatal growth deficiency, microcephaly, broad thumbs and halluces, and dysmorphic facial features (Roelfsema et al., 2005; Zimmermann et al., 2007; Foley et al., 2009).  A patient with a de novo EP300 frameshift variant and a clinical diagnosis of Rubinstein-Taybi syndrome 2 also presented with autism (Wincent et al., 2015).  A report describing nine new cases with Rubinstein-Taybi syndrome type 2 identified three cases with a diagnosis of autism spectrum disorder (Hamilton et al., 2016).  Phenotypic characterization of 52 patients with Rubinstein-Taybi syndrome 2, 42 of whom were previously unpublished, found that 12 out of 49 cases (25%) presented with autism or autistic behavior (Fergelot et al., 2016).  A de novo frameshift variant in EP300 and a de novo damaging missense variant in EP300 were identified in ASD probands from the Autism Sequencing Consortium and the Simons Simplex Collection, respectively (De Rubeis et al., 2014; Iossifov et al., 2014).  Additional de novo loss-of-function and missense variants in the EP300 gene were reported in ASD probands from the Autism Sequencing Consortium, the MSSNG cohort, and the SPARK cohort in Zhou et al., 2022; a two-stage analysis of rare de novo and inherited coding variants in 42,607 ASD cases, including 35,130 new cases from the SPARK cohort, in the same report identified EP300 as a gene reaching exome-wide significance (P < 2.5E-06).De novo loss-of-function variants in EP300 have also been identified in individuals from the Deciphering Developmental Disorders study (Fitzgerald et al., 2015).",26,0,,0,,22209245,15706485,"26401017,27465822,35982159","17299436,19353645,25363760,25363768,25533962,26788536,27159028,27479843,27648933,28991257,29460469,29506490,31036916,33644862,35205252,35322241,36797748,36973392,36980980,37035742,37799141"
EP400,E1A binding protein p400,57634,"CAGH32, DKFZP434I225, FLJ42018, FLJ45115, P400, TNRC12",12,12q24.33,Q96L91,606265,"Component of the NuA4 histone acetyltransferase complex which is involved in transcriptional activation of select genes principally by acetylation of nucleosomal histones H4 and H2A. This modification may both alter nucleosome - DNA interactions and promote interaction of the modified histones with other proteins which positively regulate transcription. May be required for transcriptional activation of E2F1 and MYC target genes during cellular proliferation. The NuA4 complex ATPase and helicase activities seem to be, at least in part, contributed by the association of RUVBL1 and RUVBL2 with EP400. May regulate ZNF42 transcription activity. Component of a SWR1-like complex that specifically mediates the removal of histone H2A.Z/H2AFZ from the nucleosome.",Rare single gene variant,"A compound heterozygous mutation in the EP400 gene was identified in an ASD proband from a nonconsanguineous family that showed evidence of distant shared ancestry as identified by homozygosity analysis (Chahrour et al., 2012). A de novo missense variant in the gene was subseuqently identified by exome sequencing in an ASD case from the Simons Simplex Collection (Iossifov et al., 2012).",10,0,,0,,22511880,,"26401017,36792830","22542183,25363760,27841880,28867142,35205252,35982159,37007974"
EPC2,Enhancer of polycomb homolog 2 (Drosophila),26122,"DKFZp566F2124, EPC-LIKE",2,2q23.1,Q52LR7,611000,EPC2 belongs to the enhancer of polycomb family and may play a role in transcription or DNA repair.,Rare single gene variant,"EPC2 is frequently deleted along with MBD5 in cases with 2q23.1 microdeletion syndrome. While MBD5 is generally thought to be the casual locus of the syndrome, EPC2 may be responsible in part for the broader phentoype observed in patients with larger 2q23.1 deletions compared to those patients with a deletion of MBD5 only.",6,0,,0,,18812405,19904302,,"19809484,22085995,35190550,35982159"
EPHA1,EPH receptor A1,2041,"EPH, EPHT, EPHT1",7,7q34-q35,P21709,179610,"This gene belongs to the ephrin receptor subfamily of the protein-tyrosine kinase family. EPH and EPH-related receptors have been implicated in mediating developmental events, particularly in the nervous system. Receptors in the EPH subfamily typically have a single kinase domain and an extracellular region containing a Cys-rich domain and 2 fibronectin type III repeats. The ephrin receptors are divided into 2 groups based on the similarity of their extracellular domain sequences and their affinities for binding ephrin-A and ephrin-B ligands. This gene is expressed in some human cancer cell lines and has been implicated in carcinogenesis.",Rare single gene variant,"De novo variants in the EPHA1 gene have been identified in ASD probands, including a de novo missense variant (p.Val567Ile) in a proband from the Simons Simplex Collection and two additional de novo missense variants in probands from the SPARK cohort and the Autism Sequencing Consortium (Iossifov et al., 2014; Sanders et al., 2015; Feliciano et al. 2019; Satterstrom et al., 2020), while inherited loss-of-function variants in this gene were observed in multiple ASD-affected siblings in two unrelated multiplex families from the iHART cohort (Ruzzo et al., 2019).  Functional assessment of the ASD-associated p.Val567Ile missense variant in Drosophila using an overexpression-based strategy in Macrogliese et al., 2022 demonstrated that flies overexpressing EPHA1-p.Val567Ile presented with a phenotype of serrated wings of normal size, compared to the reduced wing-size and wing-margin serration phenotypes caused by the reference EPHA1 allele, indicating a partial loss-of-function effect.",8,0,,0,,25363768,,35294868,"26402605,31398340,31452935,31981491,35982159,37506195"
EPHA6,EPH receptor A6,285220,"EPA6, Ephrin-A6",3,3q11.2,Q9UF33,600066,The encoded protein is a member of Eph family of receptor tyrosine kinases that are involved in establishing neuronal projections.,Rare Single Gene variant,"Rare variants in the EPHA6 gene have been identified with autism (Pinto et al., 2010).",9,0,,0,,20531469,11161563,"18450376,19850283,20571502","23375656,35190550,35982159,36320054"
EPHB1,EPH receptor B1,2047,"ELK, EPHT2, Hek6, NET",3,3q22.2,P54762,600600,"Ephrin receptors and their ligands, the ephrins, mediate numerous developmental processes, particularly in the nervous system. Based on their structures and sequence relationships, ephrins are divided into the ephrin-A (EFNA) class, which are anchored to the membrane by a glycosylphosphatidylinositol linkage, and the ephrin-B (EFNB) class, which are transmembrane proteins. The Eph family of receptors are divided into 2 groups based on the similarity of their extracellular domain sequences and their affinities for binding ephrin-A and ephrin-B ligands. Ephrin receptors make up the largest subgroup of the receptor tyrosine kinase (RTK) family. The protein encoded by this gene is a receptor for ephrin-B family members.",Rare single gene variant,"De novo variants in the EPHB1 gene have been identified in ASD probands in mutiple studies, including two de novo missense variants in ASD probands from the Simons Simplex Collection and a de novo frameshift variant in an ASD proband from the Autism Sequencing Consortium (Kong et al., 2012; Iossifov et al., 2014; Sanders et al., 2015; Yuen et al., 2016; Yuen et al., 2017; Turner et al., 2017; Werling et al., 2018; Satterstrom et al., 2020).  Functional assessment of the ASD-associated p.Val916Met missense variant, which was originally observed in an SSC proband, in Drosophila using an overexpression-based strategy in Macrogliese et al., 2022 demonstrated that flies overexpressing EPHB1-p.Val916Met presented with a complex phenotype characterized by a loss-of-function effect in eyes and a gain-of-function effect in wings.",10,0,,0,,25363768,,35294868,"22914163,26402605,27525107,28263302,28965761,29700473,31981491,35982159"
EPHB2,EPH receptor B2,2048,"CAPB, DRT, EK5, EPHT3, ERK, Hek5, PCBC, Tyro5",1,1p36.12,P29323,600997,"This gene encodes a member of the Eph receptor family of receptor tyrosine kinase transmembrane glycoproteins. These receptors are composed of an N-terminal glycosylated ligand-binding domain, a transmembrane region and an intracellular kinase domain. They bind ligands called ephrins and are involved in diverse cellular processes including motility, division, and differentiation. A distinguishing characteristic of Eph-ephrin signaling is that both receptors and ligands are competent to transduce a signaling cascade, resulting in bidirectional signaling. This protein belongs to a subgroup of the Eph receptors called EphB. Proteins of this subgroup are distinguished from other members of the family by sequence homology and preferential binding affinity for membrane-bound ephrin-B ligands.",Rare single gene variant,"Two de novo variants (one nonsense, one missense) in the EPHB2 gene were identified in separate next-generation sequencing reports using ASD probands (Sanders et al., 2012; Kong et al., 2012).",9,0,,0,,22495306,,36802416,"22914163,27824329,30564305,33004838,33431980,35205252,35982159"
EPHB6,EPH receptor B6,2051,HEP,7,7q34,O15197,602757,Kinase-defective receptor for members of the ephrin-B family. Binds to ephrin-B1 and B2. Modulated cell adhesion and migration by exerting both positive and negative effects upon stimulation with ephrin-2.,Rare Single Gene variant,"Rare mutations in the EPHB6 gene have been identified with autism (O'Roak et al., 2011).",7,0,,0,,21572417,"10389937,10984508","21672356,26938441","35982159,37149633"
EPPK1,epiplakin 1,83481,"EPIPL, EPIPL1",8,8q24.3,P58107,607553,"The protein encoded by this gene belongs to the plakin family of proteins, which play a role in the organization of cytoskeletal architecture. This family member is composed of several highly homologous plakin repeats. It may function to maintain the integrity of keratin intermediate filament networks in epithelial cells.",Rare single gene variant,"Four non-synonymous postzygotic mosaic mutations (PZMs) in the gene were identified in ASD probands in Lim et al., 2017; comparison with a background set of 84,448 privately inherited variants demonstrated that this gene harbored more PZMs than expected based on background rates (4/571 observed vs. 58/84,448 expected; hypergeometric P-value of 6.6E-04).",8,0,,0,,28714951,,,"25363768,28867142,31398340,31452935,35205252,35982159,37506195"
EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1,58513,EPS15R,19,19p13.11,Q9UBC2,616826,Seems to be a constitutive component of clathrin-coated pits that is required for receptor-mediated endocytosis. Involved in endocytosis of integrin beta-1 (ITGB1) and transferrin receptor (TFR); internalization of ITGB1 as DAB2-dependent cargo but not TFR seems to require association with DAB2.,Rare single gene variant,"EPS15L1 was identified as an ASD candidate gene in Wilfert et al., 2021 based on the discovery of private likely gene-disruptive (LGD) variants in this highly constrained (pLI  0.99) gene that were exclusively transmitted to four ASD probands in three independent families.",3,0,,0,,34312540,,,"35205252,35982159"
EPS8,epidermal growth factor receptor pathway substrate 8,2059,,12,12p12.3,Q12929,600206,"Signaling adapter that controls various cellular protrusions by regulating actin cytoskeleton dynamics and architecture. Acts as a regulator of axonal filopodia formation in neurons: in the absence of neurotrophic factors, negatively regulates axonal filopodia formation via actin-capping activity. Defects in EPS8 are associated with some cancers, such as pancreatic, oral squamous cell carcinomas or pituitary cancers.",Functional,"EPS8 levels were found to be reduced in brains of patients affected by autism compared to controls (Menna et al., 2013); in this same report, it was demonstrated that mice lacking Eps8 display immature spines, which are unable to undergo potentiation, and shows deficits in learning, memory, and social behavior.",1,0,,0,,23685357,,,
ERBB4,v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian),2066,HER4,2,2q34,Q15303,600543,A transmembrane receptor tyrosine kinase that regulates cell proliferation and differentiation,Rare Single Gene variant,"Rare variants in the ERBB4 gene have been identified with autism (Pinto et al., 2010) as well as schizophrenia (Walsh et al., 2008).",18,0,,0,,20531469,"7477376,8033211,9168115","18369103,18760695,19632177,20393464","23275889,23375656,23633123,27525107,27667684,27862604,30675382,34957103,35982159,36573631"
ERBIN,erbb2 interacting protein,55914,"ERBB2IP, HEL-S-78, LAP2",5,5q12.3,Q96RT1,606944,This gene is a member of the leucine-rich repeat and PDZ domain (LAP) family that binds to the unphosphorylated form of the ERBB2 protein and regulates ERBB2 function and localization. It has also been shown to affect the Ras signaling pathway by disrupting Ras-Raf interaction.,Rare single gene variant,"This gene, formerly known as ERBB2IP, was originally identified as an ASD candidate gene based on its enrichment in an autism-associated protein interaction module. Sequencing of post-mortem brain tissue from 25 ASD cases resulted in the identification of significant non-synonymous variants in this gene with an expected false-positive rate at 0.1, confirming the involvement of this module with autism; this finding was further validated by exome sequencing of an independent cohort of 505 ASD cases and 491 controls (Li et al., 2014). This gene was identified by TADA (transmission and de novo association) analysis of a combined dataset from the Simons Simplex Collection (SSC) and the Autism Sequencing Consortium (ASC) as a gene strongly enriched for variants likely to affect ASD risk with a false discovery rate (FDR) of <0.1 (Sanders et al., 2015); among the variants identified in this gene was one de novo loss-of-function (LoF) variant.",9,0,,0,,25549968,,"26401017,26402605","25363760,25961944,31398340,35051175,35982159,37506195"
ERG,"ERG, ETS transcription factor",2078,"erg-3, p55",21,21q22.2,P11308,165080,"This gene encodes a member of the erythroblast transformation-specific (ETS) family of transcriptions factors. All members of this family are key regulators of embryonic development, cell proliferation, differentiation, angiogenesis, inflammation, and apoptosis. The protein encoded by this gene is mainly expressed in the nucleus. It contains an ETS DNA-binding domain and a PNT (pointed) domain which is implicated in the self-association of chimeric oncoproteins. This protein is required for platelet adhesion to the subendothelium, inducing vascular cell remodeling. It also regulates hematopoesis, and the differentiation and maturation of megakaryocytic cells.",Genetic association,"A SNP within the ERG gene showed association in the secondary analyses in a combined AGP GWA sample (Anney et al., 2012).",1,0,,0,,22843504,,,
